,Cabin_F,Pclass_1,Cabin_G,Parch,Pclass_2,Cabin_T,Cabin_E,Cabin_D,Cabin_B,Cabin_C,Pclass_3,Cabin_Unknown,Cabin_A
117,False,False,False,0,True,False,False,False,False,False,False,True,False
118,False,True,False,1,False,False,False,False,True,False,False,False,False
119,False,False,False,2,False,False,False,False,False,False,True,True,False
120,False,False,False,0,True,False,False,False,False,False,False,True,False
121,False,False,False,0,False,False,False,False,False,False,True,True,False
122,False,False,False,0,True,False,False,False,False,False,False,True,False
123,False,False,False,0,True,False,True,False,False,False,False,False,False
124,False,True,False,1,False,False,False,True,False,False,False,False,False
125,False,False,False,0,False,False,False,False,False,False,True,True,False
126,False,False,False,0,False,False,False,False,False,False,True,True,False
127,False,False,False,0,False,False,False,False,False,False,True,True,False
128,True,False,False,1,False,False,False,False,False,False,True,False,False
129,False,False,False,0,False,False,False,False,False,False,True,True,False
130,False,False,False,0,False,False,False,False,False,False,True,True,False
131,False,False,False,0,False,False,False,False,False,False,True,True,False
132,False,False,False,0,False,False,False,False,False,False,True,True,False
133,False,False,False,0,True,False,False,False,False,False,False,True,False
134,False,False,False,0,True,False,False,False,False,False,False,True,False
135,False,False,False,0,True,False,False,False,False,False,False,True,False
136,False,True,False,2,False,False,False,True,False,False,False,False,False
137,False,True,False,0,False,False,False,False,False,True,False,False,False
138,False,False,False,0,False,False,False,False,False,False,True,True,False
139,False,True,False,0,False,False,False,False,True,False,False,False,False
140,False,False,False,2,False,False,False,False,False,False,True,True,False
141,False,False,False,0,False,False,False,False,False,False,True,True,False
142,False,False,False,0,False,False,False,False,False,False,True,True,False
143,False,False,False,0,False,False,False,False,False,False,True,True,False
144,False,False,False,0,True,False,False,False,False,False,False,True,False
145,False,False,False,1,True,False,False,False,False,False,False,True,False
146,False,False,False,0,False,False,False,False,False,False,True,True,False
147,False,False,False,2,False,False,False,False,False,False,True,True,False
148,True,False,False,2,True,False,False,False,False,False,False,False,False
149,False,False,False,0,True,False,False,False,False,False,False,True,False
150,False,False,False,0,True,False,False,False,False,False,False,True,False
151,False,True,False,0,False,False,False,False,False,True,False,False,False
152,False,False,False,0,False,False,False,False,False,False,True,True,False
153,False,False,False,2,False,False,False,False,False,False,True,True,False
154,False,False,False,0,False,False,False,False,False,False,True,True,False
155,False,True,False,1,False,False,False,False,False,False,False,True,False
156,False,False,False,0,False,False,False,False,False,False,True,True,False
157,False,False,False,0,False,False,False,False,False,False,True,True,False
158,False,False,False,0,False,False,False,False,False,False,True,True,False
159,False,False,False,2,False,False,False,False,False,False,True,True,False
160,False,False,False,1,False,False,False,False,False,False,True,True,False
161,False,False,False,0,True,False,False,False,False,False,False,True,False
162,False,False,False,0,False,False,False,False,False,False,True,True,False
163,False,False,False,0,False,False,False,False,False,False,True,True,False
164,False,False,False,1,False,False,False,False,False,False,True,True,False
165,False,False,False,2,False,False,False,False,False,False,True,True,False
166,False,True,False,1,False,False,True,False,False,False,False,False,False
167,False,False,False,4,False,False,False,False,False,False,True,True,False
168,False,True,False,0,False,False,False,False,False,False,False,True,False
169,False,False,False,0,False,False,False,False,False,False,True,True,False
170,False,True,False,0,False,False,False,False,True,False,False,False,False
171,False,False,False,1,False,False,False,False,False,False,True,True,False
172,False,False,False,1,False,False,False,False,False,False,True,True,False
173,False,False,False,0,False,False,False,False,False,False,True,True,False
174,False,True,False,0,False,False,False,False,False,False,False,False,True
175,False,False,False,1,False,False,False,False,False,False,True,True,False
176,False,False,False,1,False,False,False,False,False,False,True,True,False
177,False,True,False,0,False,False,False,False,False,True,False,False,False
178,False,False,False,0,True,False,False,False,False,False,False,True,False
179,False,False,False,0,False,False,False,False,False,False,True,True,False
180,False,False,False,2,False,False,False,False,False,False,True,True,False
181,False,False,False,0,True,False,False,False,False,False,False,True,False
182,False,False,False,2,False,False,False,False,False,False,True,True,False
183,True,False,False,1,True,False,False,False,False,False,False,False,False
184,False,False,False,2,False,False,False,False,False,False,True,True,False
185,False,True,False,0,False,False,False,False,False,False,False,False,True
186,False,False,False,0,False,False,False,False,False,False,True,True,False
187,False,True,False,0,False,False,False,False,False,False,False,True,False
188,False,False,False,1,False,False,False,False,False,False,True,True,False
189,False,False,False,0,False,False,False,False,False,False,True,True,False
190,False,False,False,0,True,False,False,False,False,False,False,True,False
191,False,False,False,0,True,False,False,False,False,False,False,True,False
192,False,False,False,0,False,False,False,False,False,False,True,True,False
193,True,False,False,1,True,False,False,False,False,False,False,False,False
194,False,True,False,0,False,False,False,False,True,False,False,False,False
195,False,True,False,0,False,False,False,False,True,False,False,False,False
196,False,False,False,0,False,False,False,False,False,False,True,True,False
197,False,False,False,1,False,False,False,False,False,False,True,True,False
198,False,False,False,0,False,False,False,False,False,False,True,True,False
199,False,False,False,0,True,False,False,False,False,False,False,True,False
200,False,False,False,0,False,False,False,False,False,False,True,True,False
201,False,False,False,2,False,False,False,False,False,False,True,True,False
202,False,False,False,0,False,False,False,False,False,False,True,True,False
203,False,False,False,0,False,False,False,False,False,False,True,True,False
204,False,False,False,0,False,False,False,False,False,False,True,True,False
205,False,False,True,1,False,False,False,False,False,False,True,False,False
206,False,False,False,0,False,False,False,False,False,False,True,True,False
207,False,False,False,0,False,False,False,False,False,False,True,True,False
208,False,False,False,0,False,False,False,False,False,False,True,True,False
209,False,True,False,0,False,False,False,False,False,False,False,False,True
210,False,False,False,0,False,False,False,False,False,False,True,True,False
211,False,False,False,0,True,False,False,False,False,False,False,True,False
212,False,False,False,0,False,False,False,False,False,False,True,True,False
213,False,False,False,0,True,False,False,False,False,False,False,True,False
214,False,False,False,0,False,False,False,False,False,False,True,True,False
215,False,True,False,0,False,False,False,True,False,False,False,False,False
216,False,False,False,0,False,False,False,False,False,False,True,True,False
217,False,False,False,0,True,False,False,False,False,False,False,True,False
218,False,True,False,0,False,False,False,True,False,False,False,False,False
219,False,False,False,0,True,False,False,False,False,False,False,True,False
220,False,False,False,0,False,False,False,False,False,False,True,True,False
221,False,False,False,0,True,False,False,False,False,False,False,True,False
222,False,False,False,0,False,False,False,False,False,False,True,True,False
223,False,False,False,0,False,False,False,False,False,False,True,True,False
224,False,True,False,0,False,False,False,False,False,True,False,False,False
225,False,False,False,0,False,False,False,False,False,False,True,True,False
226,False,False,False,0,True,False,False,False,False,False,False,True,False
227,False,False,False,0,False,False,False,False,False,False,True,True,False
228,False,False,False,0,True,False,False,False,False,False,False,True,False
229,False,False,False,1,False,False,False,False,False,False,True,True,False
230,False,True,False,0,False,False,False,False,False,True,False,False,False
231,False,False,False,0,False,False,False,False,False,False,True,True,False
232,False,False,False,0,True,False,False,False,False,False,False,True,False
233,False,False,False,2,False,False,False,False,False,False,True,True,False
234,False,False,False,0,True,False,False,False,False,False,False,True,False
235,False,False,False,0,False,False,False,False,False,False,True,True,False
236,False,False,False,0,True,False,False,False,False,False,False,True,False
237,False,False,False,2,True,False,False,False,False,False,False,True,False
238,False,False,False,0,True,False,False,False,False,False,False,True,False
239,False,False,False,0,True,False,False,False,False,False,False,True,False
240,False,False,False,0,False,False,False,False,False,False,True,True,False
241,False,False,False,0,False,False,False,False,False,False,True,True,False
242,False,False,False,0,True,False,False,False,False,False,False,True,False
243,False,False,False,0,False,False,False,False,False,False,True,True,False
244,False,False,False,0,False,False,False,False,False,False,True,True,False
245,False,True,False,0,False,False,False,False,False,True,False,False,False
246,False,False,False,0,False,False,False,False,False,False,True,True,False
247,False,False,False,2,True,False,False,False,False,False,False,True,False
248,False,True,False,1,False,False,False,True,False,False,False,False,False
249,False,False,False,0,True,False,False,False,False,False,False,True,False
250,False,False,False,0,False,False,False,False,False,False,True,True,False
251,False,False,True,1,False,False,False,False,False,False,True,False,False
252,False,True,False,0,False,False,False,False,False,True,False,False,False
253,False,False,False,0,False,False,False,False,False,False,True,True,False
254,False,False,False,2,False,False,False,False,False,False,True,True,False
255,False,False,False,2,False,False,False,False,False,False,True,True,False
256,False,True,False,0,False,False,False,False,False,False,False,True,False
257,False,True,False,0,False,False,False,False,True,False,False,False,False
258,False,True,False,0,False,False,False,False,False,False,False,True,False
259,False,False,False,1,True,False,False,False,False,False,False,True,False
260,False,False,False,0,False,False,False,False,False,False,True,True,False
261,False,False,False,2,False,False,False,False,False,False,True,True,False
262,False,True,False,1,False,False,True,False,False,False,False,False,False
263,False,True,False,0,False,False,False,False,True,False,False,False,False
264,False,False,False,0,False,False,False,False,False,False,True,True,False
265,False,False,False,0,True,False,False,False,False,False,False,True,False
266,False,False,False,1,False,False,False,False,False,False,True,True,False
267,False,False,False,0,False,False,False,False,False,False,True,True,False
268,False,True,False,1,False,False,False,False,False,True,False,False,False
269,False,True,False,0,False,False,False,False,False,True,False,False,False
270,False,True,False,0,False,False,False,False,False,False,False,True,False
271,False,False,False,0,False,False,False,False,False,False,True,True,False
272,False,False,False,1,True,False,False,False,False,False,False,True,False
273,False,True,False,1,False,False,False,False,False,True,False,False,False
274,False,False,False,0,False,False,False,False,False,False,True,True,False
275,False,True,False,0,False,False,False,True,False,False,False,False,False
276,False,False,False,0,False,False,False,False,False,False,True,True,False
277,False,False,False,0,True,False,False,False,False,False,False,True,False
278,False,False,False,1,False,False,False,False,False,False,True,True,False
279,False,False,False,1,False,False,False,False,False,False,True,True,False
280,False,False,False,0,False,False,False,False,False,False,True,True,False
281,False,False,False,0,False,False,False,False,False,False,True,True,False
282,False,False,False,0,False,False,False,False,False,False,True,True,False
283,False,False,False,0,False,False,False,False,False,False,True,True,False
284,False,True,False,0,False,False,False,False,False,False,False,False,True
285,False,False,False,0,False,False,False,False,False,False,True,True,False
286,False,False,False,0,False,False,False,False,False,False,True,True,False
287,False,False,False,0,False,False,False,False,False,False,True,True,False
288,False,False,False,0,True,False,False,False,False,False,False,True,False
289,False,False,False,0,False,False,False,False,False,False,True,True,False
290,False,True,False,0,False,False,False,False,False,False,False,True,False
291,False,True,False,0,False,False,False,False,True,False,False,False,False
292,False,False,False,0,True,False,False,True,False,False,False,False,False
293,False,False,False,0,False,False,False,False,False,False,True,True,False
294,False,False,False,0,False,False,False,False,False,False,True,True,False
295,False,True,False,0,False,False,False,False,False,False,False,True,False
296,False,False,False,0,False,False,False,False,False,False,True,True,False
297,False,True,False,2,False,False,False,False,False,True,False,False,False
298,False,True,False,0,False,False,False,False,False,True,False,False,False
299,False,True,False,1,False,False,False,False,True,False,False,False,False
300,False,False,False,0,False,False,False,False,False,False,True,True,False
301,False,False,False,0,False,False,False,False,False,False,True,True,False
302,False,False,False,0,False,False,False,False,False,False,True,True,False
303,False,False,False,0,True,False,True,False,False,False,False,False,False
304,False,False,False,0,False,False,False,False,False,False,True,True,False
305,False,True,False,2,False,False,False,False,False,True,False,False,False
306,False,True,False,0,False,False,False,False,False,False,False,True,False
307,False,True,False,0,False,False,False,False,False,True,False,False,False
308,False,False,False,0,True,False,False,False,False,False,False,True,False
309,False,True,False,0,False,False,True,False,False,False,False,False,False
310,False,True,False,0,False,False,False,False,False,True,False,False,False
311,False,True,False,2,False,False,False,False,True,False,False,False,False
312,False,False,False,1,True,False,False,False,False,False,False,True,False
313,False,False,False,0,False,False,False,False,False,False,True,True,False
314,False,False,False,1,True,False,False,False,False,False,False,True,False
315,False,False,False,0,False,False,False,False,False,False,True,True,False
316,False,False,False,0,True,False,False,False,False,False,False,True,False
317,False,False,False,0,True,False,False,False,False,False,False,True,False
318,False,True,False,2,False,False,False,False,False,True,False,False,False
319,False,True,False,1,False,False,True,False,False,False,False,False,False
320,False,False,False,0,False,False,False,False,False,False,True,True,False
321,False,False,False,0,False,False,False,False,False,False,True,True,False
322,False,False,False,0,True,False,False,False,False,False,False,True,False
323,False,False,False,1,True,False,False,False,False,False,False,True,False
324,False,False,False,2,False,False,False,False,False,False,True,True,False
325,False,True,False,0,False,False,False,False,False,True,False,False,False
326,False,False,False,0,False,False,False,False,False,False,True,True,False
327,False,False,False,0,True,False,False,True,False,False,False,False,False
328,False,False,False,1,False,False,False,False,False,False,True,True,False
329,False,True,False,1,False,False,False,False,True,False,False,False,False
330,False,False,False,0,False,False,False,False,False,False,True,True,False
331,False,True,False,0,False,False,False,False,False,True,False,False,False
332,False,True,False,1,False,False,False,False,False,True,False,False,False
333,False,False,False,0,False,False,False,False,False,False,True,True,False
334,False,True,False,0,False,False,False,False,False,False,False,True,False
335,False,False,False,0,False,False,False,False,False,False,True,True,False
336,False,True,False,0,False,False,False,False,False,True,False,False,False
337,False,True,False,0,False,False,True,False,False,False,False,False,False
338,False,False,False,0,False,False,False,False,False,False,True,True,False
339,False,True,False,0,False,True,False,False,False,False,False,False,False
340,True,False,False,1,True,False,False,False,False,False,False,False,False
341,False,True,False,2,False,False,False,False,False,True,False,False,False
342,False,False,False,0,True,False,False,False,False,False,False,True,False
343,False,False,False,0,True,False,False,False,False,False,False,True,False
344,False,False,False,0,True,False,False,False,False,False,False,True,False
345,True,False,False,0,True,False,False,False,False,False,False,False,False
346,False,False,False,0,True,False,False,False,False,False,False,True,False
347,False,False,False,0,False,False,False,False,False,False,True,True,False
348,False,False,False,1,False,False,False,False,False,False,True,True,False
349,False,False,False,0,False,False,False,False,False,False,True,True,False
350,False,False,False,0,False,False,False,False,False,False,True,True,False
351,False,True,False,0,False,False,False,False,False,True,False,False,False
352,False,False,False,1,False,False,False,False,False,False,True,True,False
353,False,False,False,0,False,False,False,False,False,False,True,True,False
354,False,False,False,0,False,False,False,False,False,False,True,True,False
355,False,False,False,0,False,False,False,False,False,False,True,True,False
356,False,True,False,1,False,False,True,False,False,False,False,False,False
357,False,False,False,0,True,False,False,False,False,False,False,True,False
358,False,False,False,0,False,False,False,False,False,False,True,True,False
359,False,False,False,0,False,False,False,False,False,False,True,True,False
360,False,False,False,4,False,False,False,False,False,False,True,True,False
361,False,False,False,0,True,False,False,False,False,False,False,True,False
362,False,False,False,1,False,False,False,False,False,False,True,True,False
363,False,False,False,0,False,False,False,False,False,False,True,True,False
364,False,False,False,0,False,False,False,False,False,False,True,True,False
365,False,False,False,0,False,False,False,False,False,False,True,True,False
366,False,True,False,0,False,False,False,True,False,False,False,False,False
367,False,False,False,0,False,False,False,False,False,False,True,True,False
368,False,False,False,0,False,False,False,False,False,False,True,True,False
369,False,True,False,0,False,False,False,False,True,False,False,False,False
370,False,True,False,0,False,False,True,False,False,False,False,False,False
371,False,False,False,0,False,False,False,False,False,False,True,True,False
372,False,False,False,0,False,False,False,False,False,False,True,True,False
373,False,True,False,0,False,False,False,False,False,False,False,True,False
374,False,False,False,1,False,False,False,False,False,False,True,True,False
375,False,True,False,0,False,False,False,False,False,False,False,True,False
376,False,False,False,0,False,False,False,False,False,False,True,True,False
377,False,True,False,2,False,False,False,False,False,True,False,False,False
378,False,False,False,0,False,False,False,False,False,False,True,True,False
379,False,False,False,0,False,False,False,False,False,False,True,True,False
380,False,True,False,0,False,False,False,False,False,False,False,True,False
381,False,False,False,2,False,False,False,False,False,False,True,True,False
382,False,False,False,0,False,False,False,False,False,False,True,True,False
383,False,True,False,0,False,False,False,False,False,False,False,True,False
384,False,False,False,0,False,False,False,False,False,False,True,True,False
385,False,False,False,0,True,False,False,False,False,False,False,True,False
386,False,False,False,2,False,False,False,False,False,False,True,True,False
387,False,False,False,0,True,False,False,False,False,False,False,True,False
388,False,False,False,0,False,False,False,False,False,False,True,True,False
389,False,False,False,0,True,False,False,False,False,False,False,True,False
390,False,True,False,2,False,False,False,False,True,False,False,False,False
391,False,False,False,0,False,False,False,False,False,False,True,True,False
392,False,False,False,0,False,False,False,False,False,False,True,True,False
393,False,True,False,0,False,False,False,True,False,False,False,False,False
394,False,False,True,2,False,False,False,False,False,False,True,False,False
395,False,False,False,0,False,False,False,False,False,False,True,True,False
396,False,False,False,0,False,False,False,False,False,False,True,True,False
397,False,False,False,0,True,False,False,False,False,False,False,True,False
398,False,False,False,0,True,False,False,False,False,False,False,True,False
399,False,False,False,0,True,False,False,False,False,False,False,True,False
400,False,False,False,0,False,False,False,False,False,False,True,True,False
401,False,False,False,0,False,False,False,False,False,False,True,True,False
402,False,False,False,0,False,False,False,False,False,False,True,True,False
403,False,False,False,0,False,False,False,False,False,False,True,True,False
404,False,False,False,0,False,False,False,False,False,False,True,True,False
405,False,False,False,0,True,False,False,False,False,False,False,True,False
406,False,False,False,0,False,False,False,False,False,False,True,True,False
407,False,False,False,1,True,False,False,False,False,False,False,True,False
408,False,False,False,0,False,False,False,False,False,False,True,True,False
409,False,False,False,1,False,False,False,False,False,False,True,True,False
410,False,False,False,0,False,False,False,False,False,False,True,True,False
411,False,False,False,0,False,False,False,False,False,False,True,True,False
412,False,True,False,0,False,False,False,False,False,True,False,False,False
413,False,False,False,0,True,False,False,False,False,False,False,True,False
414,False,False,False,0,False,False,False,False,False,False,True,True,False
415,False,False,False,0,False,False,False,False,False,False,True,True,False
416,False,False,False,1,True,False,False,False,False,False,False,True,False
417,False,False,False,2,True,False,False,False,False,False,False,True,False
418,False,False,False,0,True,False,False,False,False,False,False,True,False
419,False,False,False,2,False,False,False,False,False,False,True,True,False
420,False,False,False,0,False,False,False,False,False,False,True,True,False
421,False,False,False,0,False,False,False,False,False,False,True,True,False
422,False,False,False,0,False,False,False,False,False,False,True,True,False
423,False,False,False,1,False,False,False,False,False,False,True,True,False
424,False,False,False,1,False,False,False,False,False,False,True,True,False
425,False,False,False,0,False,False,False,False,False,False,True,True,False
426,False,False,False,0,True,False,False,False,False,False,False,True,False
427,False,False,False,0,True,False,False,False,False,False,False,True,False
428,False,False,False,0,False,False,False,False,False,False,True,True,False
429,False,False,False,0,False,False,True,False,False,False,True,False,False
430,False,True,False,0,False,False,False,False,False,True,False,False,False
431,False,False,False,0,False,False,False,False,False,False,True,True,False
432,False,False,False,0,True,False,False,False,False,False,False,True,False
433,False,False,False,0,False,False,False,False,False,False,True,True,False
434,False,True,False,0,False,False,True,False,False,False,False,False,False
435,False,True,False,2,False,False,False,False,True,False,False,False,False
436,False,False,False,2,False,False,False,False,False,False,True,True,False
437,False,False,False,3,True,False,False,False,False,False,False,True,False
438,False,True,False,4,False,False,False,False,False,True,False,False,False
439,False,False,False,0,True,False,False,False,False,False,False,True,False
440,False,False,False,1,True,False,False,False,False,False,False,True,False
441,False,False,False,0,False,False,False,False,False,False,True,True,False
442,False,False,False,0,False,False,False,False,False,False,True,True,False
443,False,False,False,0,True,False,False,False,False,False,False,True,False
444,False,False,False,0,False,False,False,False,False,False,True,True,False
445,False,True,False,2,False,False,False,False,False,False,False,False,True
446,False,False,False,1,True,False,False,False,False,False,False,True,False
447,False,True,False,0,False,False,False,False,False,False,False,True,False
448,False,False,False,1,False,False,False,False,False,False,True,True,False
449,False,True,False,0,False,False,False,False,False,True,False,False,False
450,False,False,False,2,True,False,False,False,False,False,False,True,False
451,False,False,False,0,False,False,False,False,False,False,True,True,False
452,False,True,False,0,False,False,False,False,False,True,False,False,False
453,False,True,False,0,False,False,False,False,False,True,False,False,False
454,False,False,False,0,False,False,False,False,False,False,True,True,False
455,False,False,False,0,False,False,False,False,False,False,True,True,False
456,False,True,False,0,False,False,True,False,False,False,False,False,False
457,False,True,False,0,False,False,False,True,False,False,False,False,False
458,False,False,False,0,True,False,False,False,False,False,False,True,False
459,False,False,False,0,False,False,False,False,False,False,True,True,False
460,False,True,False,0,False,False,True,False,False,False,False,False,False
461,False,False,False,0,False,False,False,False,False,False,True,True,False
462,False,True,False,0,False,False,True,False,False,False,False,False,False
463,False,False,False,0,True,False,False,False,False,False,False,True,False
464,False,False,False,0,False,False,False,False,False,False,True,True,False
465,False,False,False,0,False,False,False,False,False,False,True,True,False
466,False,False,False,0,True,False,False,False,False,False,False,True,False
467,False,True,False,0,False,False,False,False,False,False,False,True,False
468,False,False,False,0,False,False,False,False,False,False,True,True,False
469,False,False,False,1,False,False,False,False,False,False,True,True,False
470,False,False,False,0,False,False,False,False,False,False,True,True,False
471,False,False,False,0,False,False,False,False,False,False,True,True,False
472,False,False,False,2,True,False,False,False,False,False,False,True,False
473,False,False,False,0,True,False,False,True,False,False,False,False,False
474,False,False,False,0,False,False,False,False,False,False,True,True,False
475,False,True,False,0,False,False,False,False,False,False,False,False,True
476,False,False,False,0,True,False,False,False,False,False,False,True,False
477,False,False,False,0,False,False,False,False,False,False,True,True,False
478,False,False,False,0,False,False,False,False,False,False,True,True,False
479,False,False,False,1,False,False,False,False,False,False,True,True,False
480,False,False,False,2,False,False,False,False,False,False,True,True,False
481,False,False,False,0,True,False,False,False,False,False,False,True,False
482,False,False,False,0,False,False,False,False,False,False,True,True,False
483,False,False,False,0,False,False,False,False,False,False,True,True,False
484,False,True,False,0,False,False,False,False,True,False,False,False,False
485,False,False,False,1,False,False,False,False,False,False,True,True,False
486,False,True,False,0,False,False,False,False,False,True,False,False,False
487,False,True,False,0,False,False,False,False,True,False,False,False,False
488,False,False,False,0,False,False,False,False,False,False,True,True,False
489,False,False,False,1,False,False,False,False,False,False,True,True,False
490,False,False,False,0,False,False,False,False,False,False,True,True,False
491,False,False,False,0,False,False,False,False,False,False,True,True,False
492,False,True,False,0,False,False,False,False,False,True,False,False,False
493,False,True,False,0,False,False,False,False,False,False,False,True,False
